# WebDab output on Tue Mar 18 17:53:47 2025
# Datasource: EMEP/CEIP 2025, Emissions as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Emission category: NFR14/NFR19
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
RUE;2000;NATIONAL TOTAL;CO;Gg;1586.864134
PT;2000;NATIONAL TOTAL;CO;Gg;666.522695
KZ;2000;NATIONAL TOTAL;CO;Gg;1382.41362
GB;2000;NATIONAL TOTAL;CO;Gg;4664.195427
IS;2000;NATIONAL TOTAL;CO;Gg;52.96867628
AT;2000;NATIONAL TOTAL;CO;Gg;727.6451166
AST;2000;NATIONAL TOTAL;CO;Gg;10882.75163
NOA;2000;NATIONAL TOTAL;CO;Gg;2958.993096
AZ;2000;NATIONAL TOTAL;CO;Gg;329.1253
MED;2000;NATIONAL TOTAL;CO;Gg;85.95562699
GR;2000;NATIONAL TOTAL;CO;Gg;1003.831814
NOS;2000;NATIONAL TOTAL;CO;Gg;59.64839197
GE;2000;NATIONAL TOTAL;CO;Gg;123.1531447
CAS;2000;NATIONAL TOTAL;CO;Gg;1.310747149
RU;2000;NATIONAL TOTAL;CO;Gg;10614.5233
TM;2000;NATIONAL TOTAL;CO;Gg;378.71579
CY;2000;NATIONAL TOTAL;CO;Gg;29.71062032
AM;2000;NATIONAL TOTAL;CO;Gg;147.57796
PL;2000;NATIONAL TOTAL;CO;Gg;3345.481606
SK;2000;NATIONAL TOTAL;CO;Gg;551.7021302
LV;2000;NATIONAL TOTAL;CO;Gg;240.8980774
RO;2000;NATIONAL TOTAL;CO;Gg;1054.329919
SI;2000;NATIONAL TOTAL;CO;Gg;204.45696
HR;2000;NATIONAL TOTAL;CO;Gg;465.721446
BAS;2000;NATIONAL TOTAL;CO;Gg;22.5908998
NL;2000;NATIONAL TOTAL;CO;Gg;752.5202584
IE;2000;NATIONAL TOTAL;CO;Gg;341.4399761
BY;2000;NATIONAL TOTAL;CO;Gg;773.68007
ATL;2000;NATIONAL TOTAL;CO;Gg;52.09155383
TR;2000;NATIONAL TOTAL;CO;Gg;3558.75298
HU;2000;NATIONAL TOTAL;CO;Gg;856.5346134
LU;2000;NATIONAL TOTAL;CO;Gg;46.734533
EE;2000;NATIONAL TOTAL;CO;Gg;177.879577
ES;2000;NATIONAL TOTAL;CO;Gg;2624.127848
BG;2000;NATIONAL TOTAL;CO;Gg;409.8214237
DK;2000;NATIONAL TOTAL;CO;Gg;472.6966835
BLS;2000;NATIONAL TOTAL;CO;Gg;6.951692812
RS;2000;NATIONAL TOTAL;CO;Gg;400.1556579
LT;2000;NATIONAL TOTAL;CO;Gg;183.077736
CH;2000;NATIONAL TOTAL;CO;Gg;418.8799848
CZ;2000;NATIONAL TOTAL;CO;Gg;1512.58334
BE;2000;NATIONAL TOTAL;CO;Gg;996.5099658
MD;2000;NATIONAL TOTAL;CO;Gg;60.87342398
MC;2000;NATIONAL TOTAL;CO;Gg;2.697890655
UZ;2000;NATIONAL TOTAL;CO;Gg;1083.6778
DE;2000;NATIONAL TOTAL;CO;Gg;5096.843872
LI;2000;NATIONAL TOTAL;CO;Gg;0.78664668
KG;2000;NATIONAL TOTAL;CO;Gg;101.83304
MT;2000;NATIONAL TOTAL;CO;Gg;19.86837025
NO;2000;NATIONAL TOTAL;CO;Gg;589.3008108
FI;2000;NATIONAL TOTAL;CO;Gg;593.7654219
SE;2000;NATIONAL TOTAL;CO;Gg;642.838482
UA;2000;NATIONAL TOTAL;CO;Gg;3484.29272
MK;2000;NATIONAL TOTAL;CO;Gg;145.0371263
ME;2000;NATIONAL TOTAL;CO;Gg;2.98626
AL;2000;NATIONAL TOTAL;CO;Gg;75.00478
BA;2000;NATIONAL TOTAL;CO;Gg;272.5308
FR;2000;NATIONAL TOTAL;CO;Gg;6776.798365
IT;2000;NATIONAL TOTAL;CO;Gg;4813.977751
TJ;2000;NATIONAL TOTAL;CO;Gg;92.66559
RU;2000;NATIONAL TOTAL;NH3;Gg;963.108479
